Abstract,IsLitigated
" Systems, methods, and computer program products are disclosed for establishing and using credit limits between counterparties and for managing risk in the trading of financial interests. The invention provides a trading party with the ability to control the amount of future financial exposure that the trading party will incur with any counterparty in one or more future time periods in trades by the trading party during a trading session. A trading party may establish and use credit limits with potential counterparties in the trading of financial interests having a future financial exposure such as foreign exchange (  FX  ) forwards contracts, forwards contracts in commodities, e.g., precious metals, energy, etc., stock options, futures contracts, bonds, loan contracts, money market certificates, other fixed income securities, etc. Credit limits may be used to permit proposed trades to be completed or not depending upon available credit. Where there is insufficient credit, the trade may be blocked or otherwise prevented from progressing towards completion. For example, upon attempted acceptance of an unfiltered proposed trade, credit is checked for one or both parties. If there is sufficient credit, the trade is permitted to progress towards completion. If there is insufficient credit and if trading up to available credit is permitted, a partial trade for an amount up to the credit limit may be allowed. If a financial exposure associated with the proposed trade is greater than an available portion of a credit limit associated with the trading party, the potential counterparty, and a time period associated with the proposed trade, the proposed trade is not processed towards completion, or the price, size, or quantity of the proposed trade is capped. The future time periods (tenors for FX forwards contracts) may be selected by the trading parties, e.g., either or both a start date and an end date of such time periods may be selected. During a trading session, the credit remaining of a set credit limit between the trading party and the respective counterparty is changed according to trades executed between the trading party and the counterparty. After the end of the trading session, the remaining credit is automatically reset to the set credit limit for each counterparty and future time period. ",Yes
" A method is disclosed involving acquiring a plurality of charge accounts. The accounts are of a type normally issued with an associated physically producible card which may be presented as evidence of an existing charge account, the physically producible cards bearing human readable account numbers and expiration dates. The plurality of charge accounts are capable of being gifted to a party, after acquisition. A request is received from a first party to gift a charge account to a second party having a name, without both the issuance and provision of a physical card for the charge account to the second party. The first party and the second party are different from each other. The charge account is usable in the name of the second party at any merchant who is capable of seeking authorization, using an authorization infrastructure, for purchases involving charge accounts for which the physically producible cards are issued, whether or not the physical cards evidencing the accounts are presented by purchasers when a purchase is made. An account parameter, selected by the first party, is accepted. The second party is informed of the account, by sending an e-mail to the second party. The e-mail contains a greeting selected by the first party and directs the second party to perform a specified action in order to cause an activation of the account. The account is activated for usage by the second party according to the account parameter. An indication that the second party has made a purchase from a merchant using the account is received and a settling transaction involving the account is undertaken after the usage by the second party. A system is also disclosed having a database with at least one table and a processor coupled to the database. The database is configured to, under control of the processor, maintain a record of a payment card account registered to a first person at the request of a second person, and for which, at no time at or before a time the second person buys from a merchant and provides payment by referencing the payment card account, no physical card for the payment card account will have been provided to the second person. ",Yes
" This invention presents a method for pricing an option. The steps for this method include configuring a general option pricing model with parameters to conform the model to a market behavior of an underlying asset. A price for an option is then calculated using the model. The configured model can be calibrated to implied volatility data describing the current state of the market. The underlying asset can include commodity prices, interest rates, and currency exchange rates. More than one general option pricing models can be used to price the option. Additionally, correlations between the general option pricing models can be included in the calculation. The configuring of the parameters can be done through the formula: &lt;maths id=  MATH-US-00001   num=  00001  &gt; &lt;MATH OVERFLOW=  SCROLL  &gt; &lt;MROW&gt; &lt;MROW&gt; &lt;MFRAC&gt; &lt;MROW&gt; &lt;MI&gt;dF&lt;/MI&gt; &lt;MO&gt;⁡&lt;/MO&gt; &lt;MROW&gt; &lt;MO&gt;(&lt;/MO&gt; &lt;MROW&gt; &lt;MI&gt;t&lt;/MI&gt; &lt;MO&gt;,&lt;/MO&gt; &lt;MSTYLE&gt; &lt;mspace width=  0.3em   height=  0.3ex  /&gt; &lt;/MSTYLE&gt; &lt;MO&gt;⁢&lt;/MO&gt; &lt;MI&gt;T&lt;/MI&gt; &lt;/MROW&gt; &lt;MO&gt;)&lt;/MO&gt; &lt;/MROW&gt; &lt;/MROW&gt; &lt;MROW&gt; &lt;MI&gt;F&lt;/MI&gt; &lt;MO&gt;⁡&lt;/MO&gt; &lt;MROW&gt; &lt;MO&gt;(&lt;/MO&gt; &lt;MROW&gt; &lt;MI&gt;t&lt;/MI&gt; &lt;MO&gt;,&lt;/MO&gt; &lt;MI&gt;T&lt;/MI&gt; &lt;/MROW&gt; &lt;MO&gt;)&lt;/MO&gt; &lt;/MROW&gt; &lt;/MROW&gt; &lt;/MFRAC&gt; &lt;MO&gt;=&lt;/MO&gt; &lt;MROW&gt; &lt;MUNDER&gt; &lt;MO&gt;∑&lt;/MO&gt; &lt;MI&gt;a&lt;/MI&gt; &lt;/MUNDER&gt; &lt;MO&gt;⁢&lt;/MO&gt; &lt;MROW&gt; &lt;MROW&gt; &lt;MO&gt;[&lt;/MO&gt; &lt;MROW&gt; &lt;MUNDER&gt; &lt;MO&gt;∑&lt;/MO&gt; &lt;MI&gt;i&lt;/MI&gt; &lt;/MUNDER&gt; &lt;MO&gt;⁢&lt;/MO&gt; &lt;MROW&gt; &lt;MSUB&gt; &lt;MI&gt;y&lt;/MI&gt; &lt;MI&gt;ia&lt;/MI&gt; &lt;/MSUB&gt; &lt;MO&gt;⁢&lt;/MO&gt; &lt;MROW&gt; &lt;MSUB&gt; &lt;MI&gt;B&lt;/MI&gt; &lt;MI&gt;i&lt;/MI&gt; &lt;/MSUB&gt; &lt;MO&gt;⁡&lt;/MO&gt; &lt;MROW&gt; &lt;MO&gt;(&lt;/MO&gt; &lt;MROW&gt; &lt;MI&gt;t&lt;/MI&gt; &lt;MO&gt;,&lt;/MO&gt; &lt;MI&gt;T&lt;/MI&gt; &lt;/MROW&gt; &lt;MO&gt;)&lt;/MO&gt; &lt;/MROW&gt; &lt;/MROW&gt; &lt;MO&gt;⁢&lt;/MO&gt; &lt;MROW&gt; &lt;MSUB&gt; &lt;MI&gt;g&lt;/MI&gt; &lt;MI&gt;i&lt;/MI&gt; &lt;/MSUB&gt; &lt;MO&gt;⁡&lt;/MO&gt; &lt;MROW&gt; &lt;MO&gt;(&lt;/MO&gt; &lt;MI&gt;T&lt;/MI&gt; &lt;MO&gt;)&lt;/MO&gt; &lt;/MROW&gt; &lt;/MROW&gt; &lt;/MROW&gt; &lt;/MROW&gt; &lt;MO&gt;]&lt;/MO&gt; &lt;/MROW&gt; &lt;MO&gt;⁢&lt;/MO&gt; &lt;MROW&gt; &lt;MSUB&gt; &lt;MI&gt;sigma&lt;/MI&gt; &lt;MI&gt;a&lt;/MI&gt; &lt;/MSUB&gt; &lt;MO&gt;⁡&lt;/MO&gt; &lt;MROW&gt; &lt;MO&gt;(&lt;/MO&gt; &lt;MI&gt;t&lt;/MI&gt; &lt;MO&gt;)&lt;/MO&gt; &lt;/MROW&gt; &lt;/MROW&gt; &lt;MO&gt;⁢&lt;/MO&gt; &lt;MROW&gt; &lt;MSUB&gt; &lt;MI&gt;dz&lt;/MI&gt; &lt;MI&gt;a&lt;/MI&gt; &lt;/MSUB&gt; &lt;MO&gt;⁡&lt;/MO&gt; &lt;MROW&gt; &lt;MO&gt;(&lt;/MO&gt; &lt;MI&gt;t&lt;/MI&gt; &lt;MO&gt;)&lt;/MO&gt; &lt;/MROW&gt; &lt;/MROW&gt; &lt;/MROW&gt; &lt;/MROW&gt; &lt;/MROW&gt; &lt;MO&gt;,&lt;/MO&gt; &lt;/MROW&gt; &lt;/MATH&gt; &lt;/MATHS&gt; wherein F(t, T) represents the value of the underlying asset and dF(t, T) represents a change in the value of the underlying asset; a represents randomness factors; i represents an amount of mean reversion factors used in the model; t represents the current time; T represents the forward time; y&lt;SUB&gt;ia &lt;/SUB&gt;represents the move shape coefficient; B&lt;SUB&gt;i&lt;/SUB&gt;(t, T) represents the mean reversion factor; g&lt;SUB&gt;i&lt;/SUB&gt;(T) represents the volatility adjustment factor; sigma&lt;SUB&gt;a&lt;/SUB&gt;(t) represents the instantaneous factor volatility; and dz&lt;SUB&gt;a&lt;/SUB&gt;(t) represents the random increment. ",Yes
" Contact structures exhibiting resilience or compliance for a variety of electronic components are formed by bonding a free end of a wire to a substrate, configuring the wire into a wire stem having a springable shape, severing the wire stem, and overcoating the wire stem with at least one layer of a material chosen primarily for its structural (resiliency, compliance) characteristics. A variety of techniques for configuring, severing, and overcoating the wire stem are disclosed. In an exemplary embodiment, a free end of a wire stem is bonded to a contact area on a substrate, the wire stem is configured to have a springable shape, the wire stem is severed to be free-standing by an electrical discharge, and the free-standing wire stem is overcoated by plating. A variety of materials for the wire stem (which serves as a falsework) and for the overcoat (which serves as a superstructure over the falsework) are disclosed. Various techniques are described for mounting the contact structures to a variety of electronic components (e.g., semiconductor wafers and dies, semiconductor packages, interposers, interconnect substrates, etc.), and various process sequences are described. The resilient contact structures described herein are ideal for making a   temporary   (probe) connections to an electronic component such as a semiconductor die, for burn-in and functional testing. The self-same resilient contact structures can be used for subsequent permanent mounting of the electronic component, such as by soldering to a printed circuit board (PCB). An irregular topography can be created on or imparted to the tip of the contact structure to enhance its ability to interconnect resiliently with another electronic component. Among the numerous advantages of the present invention is the great facility with which the tips of a plurality of contact structures can be made to be coplanar with one another. Other techniques and embodiments, such as wherein the falsework wirestem protrudes beyond an end of the superstructure, or is melted down, and wherein multiple free-standing resilient contact structures can be fabricated from loops, are described. ",No
" A checkless cash advance settlement system and method are provided, including the following steps: (1) a customer initiates a Debit or Credit POS transaction via one of several possible systems, e.g., Kiosk, ATM or wireless device; (2) the customer receives authorization or denial from the selected system; (3) if authorized, the customer proceeds to the cashier's cage or central cage station and provides to a cashier on identification card and the credit/debit card used to initiate the transaction; alternatively, if the customer initiated the transaction on a wireless device, e.g. a remote control unit (RCU), the customer does not need to leave the gaming station where he is located, but rather the customer provides his identification and the credit/debit card to a cashier/attendant, or   runner,   at the gaming station, and personal information is derived from the cards; (4) the cashier or attendant validates the customer's identity, retrieves the transaction information using the selected system or a cash advance application that is networked to and interfaces with the selected system, and completes the cash advance application; (5) the selected system or the cash advance application prints a non-negotiable instrument, such as a transaction receipt; (6) the customer signs the receipt confirming the transaction took place (the customer's signature may be acquired on the physical receipt or it may be captured electronically through an electronic signature pad); (7) the receipt image is either physically stored or scanned and retained electronically and stored for subsequent transmittal to a central server (the central server may be maintained by the casino or a third-party facilitator that maintains the cash advance application); (8) the transaction information, including the receipt image if applicable, is recorded on the central server; and (9) the central server generates an ACH file containing all the cash advance transactions completed for a predetermined specified settlement period and electronically transmits the ACH file to the casino's designated financial institution for processing and successive posting of the deposits. ",Yes
" A method of providing financial advice to a client that provides sufficient confidence that their goals will be achieved or exceeded but that avoids excessive sacrifice to the client's current or future lifestyle and avoids investment risk that is not needed to provide sufficient confidence of the goals a client personally values. The method comprises obtaining typical client background information, as well as a list of investment goals, and ideal and acceptable values in dollar amounts and timing for each goal. The client is then asked to provide their preferences for each goal on the list compared to each other goal in the list, wherein the client's preference is expressed in terms of the price, in money or time, that the client is willing to pay in one goal to achieve another goal or a greater amount or sooner timing of other goals on the list. A matrix can be used to express these value contrasts. A recommendation is then created using the portfolio value, and the client goal preferences and the ideal and acceptable values of goals, by simulating models of the relevant capital markets and investing exclusively in passive investment alternatives to avoid the risk of potential material underperformance of active investments under the premise of avoiding investment risk that is not needed to confidently buy the client the goals they personally value. The recommendation may include a range of portfolio values over their life or time horizon within which the client's portfolio should remain in order to ensure the recommendation remains within a   comfort zone  , which represents sufficient confidence that the client's goals will be achieved while avoiding excessive current sacrifice. Periodic monitoring of the recommendation is also performed to capture changes to the client's goals and actual portfolio values based on the results of the capital markets. Appropriate changes to the recommendation can then be made to ensure that the recommendation remains within the   comfort zone   ",No
" A system and method for delivering purchasing incentives and a variety of other retail shopping aids through a computer network, such as by E-mail over the Internet or the World Wide Web. Customers (10) of retail stores can establish a bidirectional communication link with the system, log in (16) to the system, and then elect to browse among available purchasing incentive offers (18, 22), or elect to explore other shopping aids, such as a shopping list generator (26), a recipe center (30), or simply elect to claim a product rebate or to receive product information. If the customer elects to have product information or rebate information delivered, only minimal customer identification is required. For purchase incentives redeemable at retail stores, the customer must provide identification information and must also designate a retailer (12) at which the purchasing incentive can be exercised. For receipt of focused incentives based the customer's past shopping behavior, the customer must also supply a unique customer id., such as a check cashing card number or credit card number, used for in-store purchases. For delivery of a product sample, the customer's name and address must be supplied. The system merges this customer-supplied information (270) with other purchase incentive data (272) and creates a printable graphical image of the purchasing incentive (282) for transmission to the customer. In an alternate embodiment of the invention, the purchase incentive is not transmitted directly to the customer. Instead, the terms of the incentive are transmitted electronically to the retail store (310) designated by the customer, who receives either a token (316) to present at the store or an advisory message. In yet another embodiment of the invention, incentives may be targeted to specific consumers based on a consumer purchase history (502), and transmitted to consumers' computers (510) using electronic mail addresses stored in a consumer database (506), or using a   personal page   in the computer network, established for each consenting consumer. ",No
" The present invention generally relates to the field of medical services and more specifically to the area of chronic disease management. It comprises a new method for providing a disease management service which utilizes nurse practitioners to engage in regularly scheduled virtual evaluation and management   office visits   with patients, using off-the-shelf videophones for real-time video and audio communications. As these disease management services are delivered to the patient while he remains in his home, such convenient access to professional health care brings about a much closer monitoring of the patient's condition than would be otherwise practical, enabling clinicians to make necessary therapeutic modifications in a timely fashion. Engaging patients in such regularly scheduled office visits also causes increased compliance with recommended regimens and lifestyle modifications, resulting in overall improved management of the patient's chronic condition. Patients are enrolled into the service primarily through referrals from their primary care physicians who sign a Collaboration Agreement with the chronic disease management service. The Collaboration Agreement extends the continuity of care for enrolled patients by keeping the primary care physician informed at all times on the health status of their patients and involved in all important clinical decisions regarding patients referred to the service. The secure Internet-accessible clinical documentation and information systems used in the disclosed method make possible a multi-office practice were information can be seamlessly shared and patient workloads can be distributed across multiple locations. Clinical office visit services provided under the disclosed method qualify for reimbursement by public insurers and many private insurers. The disclosed method represents a novel form of medical practice whose area of operation and potential patient base is unbounded by geographic location, since patients may engage in virtual office visits while remaining in their homes, and the information technology infrastructure utilized allows the disclosed disease management service to deliver medical care from any location that has phone service and an Internet or network connection available. ",Yes
" The density of at least one fluid in a pipe 12 is determined using a pair of effective sound speeds a&lt;SUB&gt;1eff &lt;/SUB&gt;and a&lt;SUB&gt;2eff &lt;/SUB&gt;of the fluid/pipe system. The pair of effective system sound speed measurements are taken at two sensing regions X&lt;SUB&gt;1&lt;/SUB&gt;, X&lt;SUB&gt;2 &lt;/SUB&gt;along the pipe wherein each of the sensing regions comprises a different system cross sectional compliance. The pair of effective system sound speeds a&lt;SUB&gt;1eff &lt;/SUB&gt;and a&lt;SUB&gt;2eff &lt;/SUB&gt;are provided to signal processing logic 60, which determines the density of the fluid 13 flowing in the pipe 12. The effective system sound speeds a&lt;SUB&gt;1eff &lt;/SUB&gt;and a&lt;SUB&gt;2eff &lt;/SUB&gt;may be provided by a pair of sound speed meters positioned at sensing regions X&lt;SUB&gt;1&lt;/SUB&gt;, X&lt;SUB&gt;2 &lt;/SUB&gt;wherein the sound speed meters utilize a spatial array of acoustic pressure sensors placed at predetermined axial locations along the pipe 12. The acoustic pressure sensors provide acoustic pressure signals which are utilized to determine the effective system speed of sound a&lt;SUB&gt;1eff &lt;/SUB&gt;and a&lt;SUB&gt;2eff &lt;/SUB&gt;of the fluid (or mixture)/pipe system. One technique uses acoustic spatial array signal processing techniques with the direction of propagation of the acoustic signals along the longitudinal axis of the pipe 12. However, numerous spatial array-processing techniques may be employed to determine the effective system speed of sounds a&lt;SUB&gt;1eff &lt;/SUB&gt;and a&lt;SUB&gt;2eff&lt;/SUB&gt;. The effective system sound speeds a&lt;SUB&gt;1eff &lt;/SUB&gt;and a&lt;SUB&gt;2eff &lt;/SUB&gt;measured utilize one-dimensional planar acoustic waves that are lower in frequency (and longer wavelength) signals than those used for ultrasonic flow meters, and thus incorporates pipe compliance with fluid compliance and further is more tolerant to inhomogeneities in the flow. In addition, no external source is required and thus may operate using passive listening. The invention will work with arbitrary sound speed meter spacing and with as few as two sound speed meters. The density meter may also be combined with an instrument, an opto-electronic converter and a controller in an industrial process control system. ",Yes
" A document is operatively coupled to a printing device, either directly or through a network such as the Internet. A print schedule is stored that keeps track of when a document should be printed on the printing device. When the print schedule indicates the document should be printed, the document is automatically transmitted to the printing device without user intervention. The printing device automatically prints the document, again without user intervention. The document can be stored on a electronic device, such as a personal computer connected to the printing device, or can be stored on a document server accessible to the printing device through the Internet. A user profile is stored that contains information about the recipient of the document, such as name, email address, household income, and interests. This user profile is updated when a document is printed on the printing device. This user profile can be used to select specific information of interest to the user to be included in a personalized document. Since advertising can also be included in the document, the user profile can also be used to select advertising likely to be of interest to the user to be included in the personalized document. A product can be subsidized for a user, based on the information contained in the user profile. For example, if a user profile indicates that a specific user has printed a specific number of   preferred   documents, such as those documents containing advertising or otherwise under the control of the document delivery system, a product such as a print consumable, such as an inkjet cartridge or a laser toner cartridge, can automatically be sent to the user. Likewise, printable media such as paper can also automatically be sent to user. Alternatively, coupons for free or discounted products such as those described above can be mailed, sent electronically, or otherwise distributed to the user. ",Yes
